datetime,consommation,production_solaire,production_eolienne,temperature,vent,humidite,ferie,jour_semaine
2024-04-01 00:00,407.4,0.0,162.8,11.0,3.42,81.2,0,1
2024-04-01 01:00,371.5,0.0,206.9,10.0,5.07,84.5,0,1
2024-04-01 02:00,345.6,0.0,167.8,10.0,4.32,81.7,0,1
2024-04-01 03:00,363.7,0.0,170.3,10.9,4.29,81.3,0,1
2024-04-01 04:00,354.4,0.0,191.6,16.4,4.86,77.1,0,1
2024-04-01 05:00,369.2,0.0,179.6,15.4,4.21,75.3,0,1
2024-04-01 06:00,361.0,12.3,203.4,15.8,5.71,67.4,0,1
2024-04-01 07:00,403.5,127.5,156.5,19.2,2.95,52.2,0,1
2024-04-01 08:00,387.0,218.1,173.6,20.3,3.32,44.7,0,1
2024-04-01 09:00,373.1,308.0,133.9,22.6,1.72,50.8,0,1
2024-04-01 10:00,374.4,394.7,156.0,25.1,2.56,36.6,0,1
2024-04-01 11:00,358.5,446.9,128.0,22.8,1.11,29.6,0,1
2024-04-01 12:00,368.4,455.4,129.6,23.9,1.1,35.9,0,1
2024-04-01 13:00,394.8,436.0,105.0,23.7,0.82,20.0,0,1
2024-04-01 14:00,386.4,411.9,95.8,23.2,0.5,28.5,0,1
2024-04-01 15:00,385.9,310.3,106.1,20.3,0.5,37.3,0,1
2024-04-01 16:00,374.1,219.1,86.4,20.7,0.5,28.4,0,1
2024-04-01 17:00,375.8,95.2,96.8,19.4,0.5,37.4,0,1
2024-04-01 18:00,387.3,28.3,102.7,16.3,0.5,41.4,0,1
2024-04-01 19:00,429.5,0.0,101.6,15.7,0.5,35.1,0,1
2024-04-01 20:00,429.4,0.0,89.3,18.4,0.5,57.1,0,1
2024-04-01 21:00,413.6,0.0,140.9,14.3,1.67,67.0,0,1
2024-04-01 22:00,362.2,0.0,136.1,10.0,2.35,82.8,0,1
2024-04-01 23:00,381.2,0.0,133.8,10.4,2.47,61.8,0,1
2024-04-02 00:00,365.9,0.0,151.6,10.9,2.95,87.5,0,2
2024-04-02 01:00,403.5,0.0,148.3,11.9,3.38,80.7,0,2
2024-04-02 02:00,357.7,0.0,181.4,11.3,4.75,85.5,0,2
2024-04-02 03:00,386.2,0.0,194.9,13.1,5.08,80.9,0,2
2024-04-02 04:00,413.6,0.0,208.6,14.0,5.18,71.7,0,2
2024-04-02 05:00,394.2,0.0,218.0,12.8,5.29,65.9,0,2
2024-04-02 06:00,394.8,28.5,201.4,15.4,5.18,70.4,0,2
2024-04-02 07:00,398.6,121.6,171.7,17.3,3.59,55.8,0,2
2024-04-02 08:00,395.2,265.8,173.4,22.2,3.51,65.2,0,2
2024-04-02 09:00,376.0,328.9,141.7,20.2,2.13,51.9,0,2
2024-04-02 10:00,372.0,402.6,125.0,22.9,1.49,31.9,0,2
2024-04-02 11:00,364.1,437.0,119.8,21.3,1.33,40.0,0,2
2024-04-02 12:00,399.5,465.8,91.9,21.7,0.71,37.3,0,2
2024-04-02 13:00,389.3,492.5,106.7,21.9,0.5,34.4,0,2
